Tag,D,BW,BY,BE,BB,HB,HH,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
14. Apr,125098,25040,33569,4668,1916,492,3808,6183,619,7885,25300,4880,2112,3751,1207,2164,1504
13. Apr,123016,24570,33015,4601,1880,486,3770,6114,618,7723,24883,4810,2079,3655,1193,2134,1485
12. Apr,120479,24087,32282,4567,1857,480,3742,5859,605,7602,24267,4734,2058,3600,1166,2118,1464
11. Apr,117658,23617,31453,4458,1746,469,3663,5808,601,7343,23644,4622,2016,3565,1135,2065,1435
10. Apr,113525,22433,30363,4349,1691,454,3551,5694,586,7114,23028,4440,1854,3402,1121,2029,1416
9. Apr,108202,21603,28827,4202,1578,445,3320,5242,572,6804,21961,4336,1693,3261,1075,1932,1351
8. Apr,103228,20680,27564,4028,1472,424,3165,4965,555,6385,20929,4148,1637,3144,1020,1827,1285
7. Apr,99225,20141,26163,3845,1384,399,3059,4837,531,6200,20220,3992,1532,2997,987,1730,1208
6. Apr,95391,19395,24974,3670,1345,397,2993,4674,528,5960,19384,3882,1483,2903,956,1671,1176
5. Apr,91714,18614,23846,3613,1305,394,2945,4575,523,5712,18735,3663,1358,2741,919,1631,1140
4. Apr,85778,17014,21908,3471,1211,354,2697,4279,501,5571,17885,3504,1265,2591,896,1559,1072
3. Apr,79696,16059,20237,3202,1075,341,2596,3993,468,5081,16606,3362,1079,2336,836,1443,982
2. Apr,73522,14662,18496,2970,995,327,2406,3707,438,4695,15427,3132,1020,2183,804,1335,925
1. Apr,67366,13410,16497,2754,881,311,2311,3445,406,4382,14351,2899,829,2034,750,1246,860
31. Mär,61913,12334,14810,2575,798,294,2191,3283,366,4063,13225,2726,782,1882,680,1120,784
30. Mär,57298,10943,13989,2464,761,286,2053,3091,356,3732,12178,2584,706,1795,592,1049,719
29. Mär,52547,9794,12881,2360,721,275,1846,2605,348,3450,11400,2396,560,1617,592,1005,697
28. Mär,48582,9781,11150,2161,645,260,1765,2604,308,3150,10607,2212,550,1432,458,915,584
27. Mär,42288,8161,9481,1955,537,241,1693,2323,259,2810,9235,1971,505,1305,458,812,542
26. Mär,36508,7283,7993,1656,477,211,1265,2157,244,2347,7924,1816,433,1141,418,675,468
25. Mär,31554,6069,6558,1428,429,200,1262,1754,218,2140,7197,1591,403,959,375,577,394
24. Mär,27436,5348,5754,1220,343,183,1043,1620,199,1764,6318,1370,337,811,321,478,327
23. Mär,22672,3811,4892,1077,288,170,943,1347,172,1483,5615,1177,200,653,212,383,249
22. Mär,18610,3807,3650,1024,274,165,872,1175,172,1306,3545,1053,187,606,211,347,216
21. Mär,16662,3668,2960,866,254,142,587,1080,165,1023,3542,938,187,567,188,308,187
20. Mär,13957,2746,2401,731,192,121,586,813,131,803,3497,801,146,394,180,266,149
19. Mär,10999,2155,1692,573,134,80,432,682,98,669,3033,637,99,275,140,202,98
18. Mär,8198,1609,1243,391,92,69,358,432,56,478,2372,474,88,198,105,159,74
17. Mär,7156,1479,1109,345,73,57,310,373,45,325,2105,442,75,182,58,127,51
16. Mär,6012,1105,1067,300,94,56,260,342,51,391,1541,325,85,140,77,123,55
15. Mär,4838,827,886,265,84,53,162,286,50,287,1407,168,32,130,47,103,51
14. Mär,3795,569,681,216,61,50,158,203,45,253,1154,121,40,93,45,60,46
13. Mär,3062,454,558,174,44,42,99,148,33,230,936,102,40,83,42,48,29
12. Mär,2369,454,500,137,30,38,88,99,23,129,688,52,14,45,27,31,14
11. Mär,1567,277,366,90,24,21,48,48,17,75,484,25,14,26,15,27,10
10. Mär,1296,237,314,48,9,4,29,35,13,49,484,25,7,22,7,9,4
09. Mär,1139,204,256,48,6,4,17,26,10,38,484,17,6,12,0,9,2
08. Mär,902,182,172,40,4,4,13,19,8,21,398,19,4,7,0,9,2
07. Mär,795,170,134,28,2,4,13,17,5,19,373,13,3,4,0,8,2
06. Mär,639,96,117,19,2,4,11,16,5,18,329,10,2,2,0,7,1
05. Mär,400,73,70,13,1,3,5,14,4,18,181,8,1,1,0,7,1
04. Mär,240,44,48,6,1,2,2,12,3,4,111,2,1,1,0,2,1
03. Mär,188,26,35,3,1,1,2,12,0,1,101,2,0,1,0,2,1
02. Mär,150,19,25,1,0,1,1,12,0,1,86,2,0,0,0,2,0
01. Mär,117,15,19,0,0,1,1,10,0,1,66,2,0,0,0,2,0
29. Feb,66,14,15,0,0,0,0,5,0,0,30,1,0,0,0,1,0
28. Feb,53,10,15,0,0,0,0,2,0,0,25,0,0,0,0,1,0
27. Feb,26,6,14,0,0,0,0,2,0,0,4,0,0,0,0,0,0
26. Feb,21,3,14,0,0,0,0,2,0,0,2,0,0,0,0,0,0
25. Feb,18,1,14,0,0,0,0,2,0,0,1,0,0,0,0,0,0
24. Feb,16,0,14,0,0,0,0,2,0,0,0,0,0,0,0,0,0
