Provincienaam,Datum,ML,Low_90,High_90,Low_50,High_50
Friesland,2020-06-29,3.0,1.01,6.99,2.04,4.45
Friesland,2020-06-30,2.88,0.99,6.28,1.99,4.16
Friesland,2020-07-07,2.7800000000000002,0.9400000000000001,5.8100000000000005,2.0,4.0200000000000005
Friesland,2020-07-14,3.02,1.08,5.99,2.15,4.2
Gelderland,2020-03-04,3.0,1.01,6.99,2.04,4.45
Gelderland,2020-03-05,3.24,1.22,6.07,2.41,4.46
Gelderland,2020-03-06,2.5,1.0,4.63,1.9000000000000001,3.43
Gelderland,2020-03-07,2.31,0.9500000000000001,4.21,1.76,3.13
Gelderland,2020-03-08,2.18,0.89,3.91,1.61,2.87
Gelderland,2020-03-09,2.19,0.87,3.77,1.62,2.83
Gelderland,2020-03-10,2.18,0.92,3.7,1.69,2.85
Gelderland,2020-03-11,2.2600000000000002,1.01,3.69,1.8,2.92
Gelderland,2020-03-12,2.2800000000000002,1.09,3.64,1.83,2.89
Gelderland,2020-03-13,2.42,1.26,3.68,1.97,2.97
Gelderland,2020-03-14,2.5300000000000002,1.43,3.68,2.12,3.0500000000000003
Gelderland,2020-03-15,2.54,1.55,3.62,2.15,3.0
Gelderland,2020-03-16,2.39,1.48,3.38,2.04,2.82
Gelderland,2020-03-17,2.38,1.53,3.29,2.0300000000000002,2.75
Gelderland,2020-03-18,2.33,1.54,3.17,2.0300000000000002,2.7
Gelderland,2020-03-19,2.23,1.48,3.0,1.97,2.6
Gelderland,2020-03-20,2.18,1.49,2.92,1.94,2.5300000000000002
Gelderland,2020-03-21,2.1,1.44,2.79,1.8800000000000001,2.44
Gelderland,2020-03-22,2.06,1.43,2.71,1.84,2.37
Gelderland,2020-03-23,2.08,1.49,2.71,1.86,2.36
Gelderland,2020-03-24,2.0300000000000002,1.47,2.63,1.84,2.32
Gelderland,2020-03-25,2.0,1.47,2.58,1.82,2.2800000000000002
Gelderland,2020-03-26,2.0100000000000002,1.5,2.56,1.84,2.2800000000000002
Gelderland,2020-03-27,1.85,1.34,2.35,1.68,2.1
Gelderland,2020-03-28,1.75,1.27,2.25,1.6,2.0100000000000002
Gelderland,2020-03-29,1.6300000000000001,1.17,2.13,1.48,1.8800000000000001
Gelderland,2020-03-30,1.47,1.0,1.94,1.31,1.7
Gelderland,2020-03-31,1.3800000000000001,0.93,1.87,1.23,1.62
Gelderland,2020-04-01,1.26,0.79,1.72,1.11,1.5
Gelderland,2020-04-02,1.1300000000000001,0.6900000000000001,1.6300000000000001,0.99,1.3800000000000001
Gelderland,2020-04-03,1.09,0.63,1.57,0.9400000000000001,1.33
Gelderland,2020-04-04,1.0,0.55,1.5,0.8300000000000001,1.22
Gelderland,2020-04-05,0.92,0.46,1.42,0.77,1.17
Gelderland,2020-04-06,0.92,0.45,1.42,0.76,1.16
Gelderland,2020-04-07,0.9500000000000001,0.48,1.46,0.76,1.16
Gelderland,2020-04-08,1.06,0.59,1.57,0.87,1.27
Gelderland,2020-04-09,1.16,0.6900000000000001,1.6600000000000001,0.99,1.3900000000000001
Gelderland,2020-04-10,1.32,0.86,1.81,1.1400000000000001,1.53
Gelderland,2020-04-11,1.32,0.87,1.8,1.18,1.57
Gelderland,2020-04-12,1.29,0.86,1.78,1.1400000000000001,1.52
Gelderland,2020-04-13,1.17,0.75,1.6600000000000001,0.99,1.36
Gelderland,2020-04-14,1.1,0.65,1.55,0.93,1.3
Gelderland,2020-04-15,1.06,0.63,1.54,0.88,1.25
Gelderland,2020-04-16,1.08,0.65,1.56,0.89,1.26
Gelderland,2020-04-17,1.03,0.6,1.51,0.84,1.21
Gelderland,2020-04-18,1.04,0.61,1.52,0.85,1.22
Gelderland,2020-04-19,0.99,0.55,1.46,0.85,1.23
Gelderland,2020-04-20,0.96,0.51,1.42,0.81,1.19
Gelderland,2020-04-21,0.86,0.42,1.34,0.7000000000000001,1.08
Gelderland,2020-04-22,0.76,0.31,1.24,0.62,1.01
Gelderland,2020-04-23,0.63,0.19,1.12,0.47000000000000003,0.86
Gelderland,2020-04-24,0.55,0.1,1.01,0.39,0.79
Gelderland,2020-04-25,0.46,0.03,0.9,0.32,0.72
Gelderland,2020-04-26,0.43,0.03,0.9,0.28,0.68
Gelderland,2020-04-27,0.3,0.01,0.81,0.19,0.56
Gelderland,2020-04-28,0.29,0.0,0.8,0.18,0.55
Gelderland,2020-04-29,0.33,0.0,0.85,0.21,0.6
Gelderland,2020-04-30,0.44,0.03,0.97,0.29,0.72
Gelderland,2020-05-01,0.5,0.05,1.04,0.33,0.78
Gelderland,2020-05-02,0.55,0.06,1.09,0.34,0.8
Gelderland,2020-05-03,0.48,0.03,1.02,0.27,0.72
Gelderland,2020-05-04,0.41000000000000003,0.01,0.96,0.25,0.6900000000000001
Gelderland,2020-05-05,0.32,0.01,0.92,0.2,0.62
Gelderland,2020-05-06,0.27,0.01,0.88,0.14,0.53
Gelderland,2020-05-07,0.25,0.0,0.86,0.13,0.51
Gelderland,2020-05-08,0.28,0.01,0.91,0.15,0.55
Gelderland,2020-05-09,0.3,0.0,0.93,0.18,0.6
Gelderland,2020-05-10,0.3,0.0,0.9400000000000001,0.14,0.56
Gelderland,2020-05-11,0.34,0.0,0.99,0.2,0.65
Gelderland,2020-05-12,0.33,0.01,1.01,0.18,0.63
Gelderland,2020-05-13,0.34,0.0,1.02,0.17,0.63
Gelderland,2020-05-14,0.38,0.01,1.08,0.24,0.73
Gelderland,2020-05-15,0.38,0.0,1.08,0.19,0.68
