date,state,pop,cases,deaths
17/04/2020,Afghanistan,37172386,10,4
16/04/2020,Afghanistan,37172386,70,2
15/04/2020,Afghanistan,37172386,49,2
14/04/2020,Afghanistan,37172386,58,3
13/04/2020,Afghanistan,37172386,52,0
12/4/2020,Afghanistan,37172386,34,3
11/4/2020,Afghanistan,37172386,37,0
10/4/2020,Afghanistan,37172386,61,1
9/4/2020,Afghanistan,37172386,56,3
8/4/2020,Afghanistan,37172386,30,4
7/4/2020,Afghanistan,37172386,38,0
6/4/2020,Afghanistan,37172386,29,2
5/4/2020,Afghanistan,37172386,35,1
4/4/2020,Afghanistan,37172386,0,0
3/4/2020,Afghanistan,37172386,43,0
2/4/2020,Afghanistan,37172386,26,0
1/4/2020,Afghanistan,37172386,25,0
31/03/2020,Afghanistan,37172386,27,0
30/03/2020,Afghanistan,37172386,8,1
29/03/2020,Afghanistan,37172386,15,1
28/03/2020,Afghanistan,37172386,16,1
27/03/2020,Afghanistan,37172386,0,0
26/03/2020,Afghanistan,37172386,33,0
25/03/2020,Afghanistan,37172386,2,0
24/03/2020,Afghanistan,37172386,6,1
23/03/2020,Afghanistan,37172386,10,0
22/03/2020,Afghanistan,37172386,0,0
21/03/2020,Afghanistan,37172386,2,0
20/03/2020,Afghanistan,37172386,0,0
19/03/2020,Afghanistan,37172386,0,0
18/03/2020,Afghanistan,37172386,1,0
17/03/2020,Afghanistan,37172386,5,0
16/03/2020,Afghanistan,37172386,6,0
15/03/2020,Afghanistan,37172386,3,0
11/3/2020,Afghanistan,37172386,3,0
8/3/2020,Afghanistan,37172386,3,0
2/3/2020,Afghanistan,37172386,0,0
1/3/2020,Afghanistan,37172386,0,0
29/02/2020,Afghanistan,37172386,0,0
28/02/2020,Afghanistan,37172386,0,0
27/02/2020,Afghanistan,37172386,0,0
26/02/2020,Afghanistan,37172386,0,0
25/02/2020,Afghanistan,37172386,1,0
24/02/2020,Afghanistan,37172386,0,0
23/02/2020,Afghanistan,37172386,0,0
22/02/2020,Afghanistan,37172386,0,0
21/02/2020,Afghanistan,37172386,0,0
20/02/2020,Afghanistan,37172386,0,0
19/02/2020,Afghanistan,37172386,0,0
18/02/2020,Afghanistan,37172386,0,0
17/02/2020,Afghanistan,37172386,0,0
16/02/2020,Afghanistan,37172386,0,0
15/02/2020,Afghanistan,37172386,0,0
14/02/2020,Afghanistan,37172386,0,0
13/02/2020,Afghanistan,37172386,0,0
12/2/2020,Afghanistan,37172386,0,0
11/2/2020,Afghanistan,37172386,0,0
10/2/2020,Afghanistan,37172386,0,0
9/2/2020,Afghanistan,37172386,0,0
8/2/2020,Afghanistan,37172386,0,0
7/2/2020,Afghanistan,37172386,0,0
6/2/2020,Afghanistan,37172386,0,0
5/2/2020,Afghanistan,37172386,0,0
4/2/2020,Afghanistan,37172386,0,0
3/2/2020,Afghanistan,37172386,0,0
2/2/2020,Afghanistan,37172386,0,0
1/2/2020,Afghanistan,37172386,0,0
31/01/2020,Afghanistan,37172386,0,0
30/01/2020,Afghanistan,37172386,0,0
29/01/2020,Afghanistan,37172386,0,0
28/01/2020,Afghanistan,37172386,0,0
27/01/2020,Afghanistan,37172386,0,0
26/01/2020,Afghanistan,37172386,0,0
25/01/2020,Afghanistan,37172386,0,0
24/01/2020,Afghanistan,37172386,0,0
23/01/2020,Afghanistan,37172386,0,0
22/01/2020,Afghanistan,37172386,0,0
21/01/2020,Afghanistan,37172386,0,0
20/01/2020,Afghanistan,37172386,0,0
19/01/2020,Afghanistan,37172386,0,0
18/01/2020,Afghanistan,37172386,0,0
