state,date,ML,Low,High
Alabama,2020-03-13,2.0,0.34,6.43
Alabama,2020-03-14,1.53,0.47000000000000003,2.95
Alabama,2020-03-15,1.42,0.51,2.5100000000000002
Alabama,2020-03-16,1.47,0.62,2.38
Alabama,2020-03-17,1.61,0.85,2.42
Alabama,2020-03-18,1.72,1.04,2.41
Alabama,2020-03-19,1.73,1.1400000000000001,2.34
Alabama,2020-03-20,1.73,1.2,2.29
Alabama,2020-03-21,1.73,1.23,2.22
Alabama,2020-03-22,1.9000000000000001,1.47,2.36
Alabama,2020-03-23,2.07,1.69,2.47
Alabama,2020-03-24,2.11,1.79,2.47
Alabama,2020-03-25,2.04,1.74,2.33
Alabama,2020-03-26,1.9000000000000001,1.6400000000000001,2.17
Alabama,2020-03-27,1.73,1.49,1.97
Alabama,2020-03-28,1.57,1.34,1.79
Alabama,2020-03-29,1.3900000000000001,1.18,1.61
Alabama,2020-03-30,1.25,1.05,1.47
Alabama,2020-03-31,1.21,1.01,1.42
Alabama,2020-04-01,1.18,0.99,1.3900000000000001
Alabama,2020-04-02,1.21,1.03,1.42
Alabama,2020-04-03,1.25,1.07,1.45
Alabama,2020-04-04,1.31,1.1300000000000001,1.49
Alabama,2020-04-05,1.36,1.2,1.55
Alabama,2020-04-06,1.4000000000000001,1.24,1.57
Alabama,2020-04-07,1.36,1.2,1.51
Alabama,2020-04-08,1.35,1.2,1.5
Alabama,2020-04-09,1.31,1.16,1.45
Alabama,2020-04-10,1.26,1.12,1.4000000000000001
Alabama,2020-04-11,1.2,1.06,1.33
Alabama,2020-04-12,1.1400000000000001,1.01,1.28
Alabama,2020-04-13,1.07,0.9400000000000001,1.21
Alabama,2020-04-14,1.04,0.91,1.18
Alabama,2020-04-15,0.98,0.85,1.12
Alaska,2020-03-14,2.0,0.34,6.43
Alaska,2020-03-15,2.35,0.48,5.72
Alaska,2020-03-16,2.43,0.64,4.98
Alaska,2020-03-17,2.35,0.72,4.39
Alaska,2020-03-18,2.43,0.87,4.11
Alaska,2020-03-19,2.06,0.78,3.5100000000000002
Alaska,2020-03-20,2.08,0.9,3.38
Alaska,2020-03-21,2.05,0.76,3.27
Alaska,2020-03-22,2.07,0.96,3.17
Alaska,2020-03-23,1.97,0.96,2.91
Alaska,2020-03-24,1.93,1.05,2.79
Alaska,2020-03-25,1.83,1.05,2.62
Alaska,2020-03-26,1.79,1.07,2.49
Alaska,2020-03-27,1.57,0.91,2.23
Alaska,2020-03-28,1.45,0.8300000000000001,2.08
Alaska,2020-03-29,1.27,0.67,1.8800000000000001
Alaska,2020-03-30,1.1400000000000001,0.55,1.74
Alaska,2020-03-31,0.98,0.39,1.58
Alaska,2020-04-01,0.86,0.28,1.48
Alaska,2020-04-02,0.81,0.21,1.42
Alaska,2020-04-03,0.8200000000000001,0.19,1.42
Alaska,2020-04-04,0.89,0.25,1.51
Alaska,2020-04-05,1.0,0.37,1.6500000000000001
Alaska,2020-04-06,1.11,0.48,1.75
Alaska,2020-04-07,1.18,0.56,1.8
Alaska,2020-04-08,1.17,0.5700000000000001,1.79
Alaska,2020-04-09,1.12,0.53,1.73
Alaska,2020-04-10,1.09,0.49,1.67
Alaska,2020-04-11,0.98,0.38,1.56
Alaska,2020-04-12,0.91,0.31,1.5
Alaska,2020-04-13,0.8300000000000001,0.23,1.43
Alaska,2020-04-14,0.78,0.16,1.37
Alaska,2020-04-15,0.76,0.16,1.4000000000000001
Arizona,2020-03-03,2.0,0.34,6.43
Arizona,2020-03-04,1.8800000000000001,0.38,5.01
Arizona,2020-03-05,1.8,0.38,4.45
Arizona,2020-03-06,1.74,0.4,4.13
Arizona,2020-03-07,1.96,0.5,4.24
Arizona,2020-03-08,1.83,0.46,3.79
