date,state,fips,cases
2020-04-17,Austria,0,78
2020-04-16,Austria,0,136
2020-04-15,Austria,0,191
2020-04-14,Austria,0,106
2020-04-13,Austria,0,130
2020-04-12,Austria,0,247
2020-04-11,Austria,0,312
2020-04-10,Austria,0,279
2020-04-09,Austria,0,329
2020-04-08,Austria,0,343
2020-04-07,Austria,0,314
2020-04-06,Austria,0,217
2020-04-05,Austria,0,241
2020-04-04,Austria,0,396
2020-04-03,Austria,0,418
2020-04-02,Austria,0,529
2020-04-01,Austria,0,564
2020-03-31,Austria,0,805
2020-03-30,Austria,0,522
2020-03-29,Austria,0,594
2020-03-28,Austria,0,668
2020-03-27,Austria,0,1141
2020-03-26,Austria,0,606
2020-03-25,Austria,0,796
2020-03-24,Austria,0,855
2020-03-23,Austria,0,607
2020-03-22,Austria,0,375
2020-03-21,Austria,0,453
2020-03-20,Austria,0,550
2020-03-19,Austria,0,314
2020-03-18,Austria,0,316
2020-03-17,Austria,0,156
2020-03-16,Austria,0,205
2020-03-15,Austria,0,151
2020-03-14,Austria,0,143
2020-03-13,Austria,0,115
2020-03-12,Austria,0,64
2020-03-11,Austria,0,51
2020-03-10,Austria,0,29
2020-03-09,Austria,0,3
2020-03-08,Austria,0,25
2020-03-07,Austria,0,33
2020-03-06,Austria,0,12
2020-03-05,Austria,0,5
2020-03-04,Austria,0,6
2020-03-03,Austria,0,4
2020-03-02,Austria,0,4
2020-03-01,Austria,0,3
2020-02-29,Austria,0,2
2020-02-28,Austria,0,3
2020-02-27,Austria,0,0
2020-02-26,Austria,0,2
2020-02-25,Austria,0,0
2020-02-24,Austria,0,0
2020-02-23,Austria,0,0
2020-02-22,Austria,0,0
2020-02-21,Austria,0,0
2020-02-20,Austria,0,0
2020-02-19,Austria,0,0
2020-02-18,Austria,0,0
2020-02-17,Austria,0,0
2020-02-16,Austria,0,0
2020-02-15,Austria,0,0
2020-02-14,Austria,0,0
2020-02-13,Austria,0,0
2020-02-12,Austria,0,0
2020-02-11,Austria,0,0
2020-02-10,Austria,0,0
2020-02-09,Austria,0,0
2020-02-08,Austria,0,0
2020-02-07,Austria,0,0
2020-02-06,Austria,0,0
2020-02-05,Austria,0,0
2020-02-04,Austria,0,0
2020-02-03,Austria,0,0
2020-02-02,Austria,0,0
2020-02-01,Austria,0,0
2020-01-31,Austria,0,0
2020-01-30,Austria,0,0
2020-01-29,Austria,0,0
2020-01-28,Austria,0,0
2020-01-27,Austria,0,0
2020-01-26,Austria,0,0
2020-01-25,Austria,0,0
2020-01-24,Austria,0,0
2020-01-23,Austria,0,0
2020-01-22,Austria,0,0
2020-01-21,Austria,0,0
2020-01-20,Austria,0,0
2020-01-19,Austria,0,0
2020-01-18,Austria,0,0
2020-01-17,Austria,0,0
2020-01-16,Austria,0,0
2020-01-15,Austria,0,0
2020-01-14,Austria,0,0
2020-01-13,Austria,0,0
2020-01-12,Austria,0,0
2020-01-11,Austria,0,0
2020-01-10,Austria,0,0
2020-01-09,Austria,0,0
2020-01-08,Austria,0,0
2020-01-07,Austria,0,0
2020-01-06,Austria,0,0
2020-01-05,Austria,0,0
2020-01-04,Austria,0,0
2020-01-03,Austria,0,0
2020-01-02,Austria,0,0
2020-01-01,Austria,0,0
2019-12-31,Austria,0,0
2020-04-17,Belgium,0,1236
2020-04-16,Belgium,0,2454
2020-04-15,Belgium,0,530
2020-04-14,Belgium,0,942
2020-04-13,Belgium,0,1629
2020-04-12,Belgium,0,1351
2020-04-11,Belgium,0,1684
2020-04-10,Belgium,0,1580
2020-04-09,Belgium,0,1209
2020-04-08,Belgium,0,1380
2020-04-07,Belgium,0,1123
2020-04-06,Belgium,0,1260
2020-04-05,Belgium,0,1661
2020-04-04,Belgium,0,1422
2020-04-03,Belgium,0,1384
2020-04-02,Belgium,0,1189
2020-04-01,Belgium,0,876
2020-03-31,Belgium,0,1063
2020-03-30,Belgium,0,1702
2020-03-29,Belgium,0,1850
2020-03-28,Belgium,0,1049
2020-03-27,Belgium,0,1298
2020-03-26,Belgium,0,668
2020-03-25,Belgium,0,526
2020-03-24,Belgium,0,342
2020-03-23,Belgium,0,586
2020-03-22,Belgium,0,558
2020-03-21,Belgium,0,462
2020-03-20,Belgium,0,309
2020-03-19,Belgium,0,243
2020-03-18,Belgium,0,158
2020-03-17,Belgium,0,199
2020-03-16,Belgium,0,197
2020-03-15,Belgium,0,130
2020-03-14,Belgium,0,160
2020-03-13,Belgium,0,85
2020-03-12,Belgium,0,47
2020-03-11,Belgium,0,28
2020-03-10,Belgium,0,39
2020-03-09,Belgium,0,31
2020-03-08,Belgium,0,60
2020-03-07,Belgium,0,59
2020-03-06,Belgium,0,27
2020-03-05,Belgium,0,10
2020-03-04,Belgium,0,5
2020-03-03,Belgium,0,6
2020-03-02,Belgium,0,1
2020-03-01,Belgium,0,0
2020-02-29,Belgium,0,0
2020-02-28,Belgium,0,0
2020-02-27,Belgium,0,0
2020-02-26,Belgium,0,0
2020-02-25,Belgium,0,0
2020-02-24,Belgium,0,0
2020-02-23,Belgium,0,0
2020-02-22,Belgium,0,0
2020-02-21,Belgium,0,0
2020-02-20,Belgium,0,0
2020-02-19,Belgium,0,0
2020-02-18,Belgium,0,0
2020-02-17,Belgium,0,0
2020-02-16,Belgium,0,0
2020-02-15,Belgium,0,0
2020-02-14,Belgium,0,0
2020-02-13,Belgium,0,0
2020-02-12,Belgium,0,0
2020-02-11,Belgium,0,0
2020-02-10,Belgium,0,0
2020-02-09,Belgium,0,0
2020-02-08,Belgium,0,0
2020-02-07,Belgium,0,0
2020-02-06,Belgium,0,0
2020-02-05,Belgium,0,0
2020-02-04,Belgium,0,1
2020-02-03,Belgium,0,0
2020-02-02,Belgium,0,0
2020-02-01,Belgium,0,0
2020-01-31,Belgium,0,0
2020-01-30,Belgium,0,0
2020-01-29,Belgium,0,0
2020-01-28,Belgium,0,0
2020-01-27,Belgium,0,0
2020-01-26,Belgium,0,0
2020-01-25,Belgium,0,0
2020-01-24,Belgium,0,0
2020-01-23,Belgium,0,0
2020-01-22,Belgium,0,0
2020-01-21,Belgium,0,0
2020-01-20,Belgium,0,0
2020-01-19,Belgium,0,0
2020-01-18,Belgium,0,0
2020-01-17,Belgium,0,0
2020-01-16,Belgium,0,0
2020-01-15,Belgium,0,0
2020-01-14,Belgium,0,0
2020-01-13,Belgium,0,0
2020-01-12,Belgium,0,0
2020-01-11,Belgium,0,0
2020-01-10,Belgium,0,0
2020-01-09,Belgium,0,0
2020-01-08,Belgium,0,0
2020-01-07,Belgium,0,0
2020-01-06,Belgium,0,0
2020-01-05,Belgium,0,0
2020-01-04,Belgium,0,0
2020-01-03,Belgium,0,0
2020-01-02,Belgium,0,0
2020-01-01,Belgium,0,0
2019-12-31,Belgium,0,0
2020-04-17,Bulgaria,0,53
2020-04-16,Bulgaria,0,34
2020-04-15,Bulgaria,0,28
2020-04-14,Bulgaria,0,10
2020-04-13,Bulgaria,0,14
2020-04-12,Bulgaria,0,26
2020-04-11,Bulgaria,0,11
2020-04-10,Bulgaria,0,31
2020-04-09,Bulgaria,0,16
2020-04-08,Bulgaria,0,28
2020-04-07,Bulgaria,0,18
2020-04-06,Bulgaria,0,28
2020-04-05,Bulgaria,0,18
2020-04-04,Bulgaria,0,28
2020-04-03,Bulgaria,0,35
2020-04-02,Bulgaria,0,23
2020-04-01,Bulgaria,0,40
2020-03-31,Bulgaria,0,13
2020-03-30,Bulgaria,0,15
2020-03-29,Bulgaria,0,38
2020-03-28,Bulgaria,0,29
2020-03-27,Bulgaria,0,22
2020-03-26,Bulgaria,0,22
2020-03-25,Bulgaria,0,19
2020-03-24,Bulgaria,0,16
2020-03-23,Bulgaria,0,22
2020-03-22,Bulgaria,0,36
2020-03-21,Bulgaria,0,22
2020-03-20,Bulgaria,0,13
2020-03-19,Bulgaria,0,11
2020-03-18,Bulgaria,0,19
2020-03-17,Bulgaria,0,11
2020-03-16,Bulgaria,0,10
2020-03-15,Bulgaria,0,10
2020-03-14,Bulgaria,0,8
2020-03-13,Bulgaria,0,16
2020-03-12,Bulgaria,0,3
2020-03-09,Bulgaria,0,2
2020-03-08,Bulgaria,0,2
2020-04-17,Croatia,0,50
2020-04-16,Croatia,0,37
2020-04-15,Croatia,0,54
2020-04-14,Croatia,0,50
2020-04-13,Croatia,0,66
2020-04-12,Croatia,0,39
2020-04-11,Croatia,0,88
2020-04-10,Croatia,0,64
2020-04-09,Croatia,0,61
2020-04-08,Croatia,0,60
2020-04-07,Croatia,0,40
2020-04-06,Croatia,0,56
2020-04-05,Croatia,0,47
2020-04-04,Croatia,0,68
2020-04-03,Croatia,0,48
2020-04-02,Croatia,0,96
2020-04-01,Croatia,0,77
2020-03-31,Croatia,0,77
2020-03-30,Croatia,0,56
2020-03-29,Croatia,0,71
2020-03-28,Croatia,0,91
2020-03-27,Croatia,0,77
2020-03-26,Croatia,0,36
2020-03-25,Croatia,0,76
2020-03-24,Croatia,0,71
2020-03-23,Croatia,0,29
2020-03-22,Croatia,0,80
2020-03-21,Croatia,0,22
2020-03-20,Croatia,0,23
2020-03-19,Croatia,0,12
2020-03-18,Croatia,0,13
2020-03-17,Croatia,0,8
2020-03-16,Croatia,0,11
2020-03-15,Croatia,0,6
2020-03-14,Croatia,0,6
2020-03-13,Croatia,0,9
2020-03-12,Croatia,0,3
2020-03-11,Croatia,0,1
2020-03-08,Croatia,0,1
2020-03-07,Croatia,0,1
2020-03-06,Croatia,0,1
2020-03-04,Croatia,0,1
2020-03-03,Croatia,0,1
2020-03-02,Croatia,0,2
2020-03-01,Croatia,0,0
2020-02-29,Croatia,0,2
2020-02-28,Croatia,0,1
2020-02-27,Croatia,0,1
2020-02-26,Croatia,0,1
2020-02-25,Croatia,0,0
2020-02-24,Croatia,0,0
2020-02-23,Croatia,0,0
2020-02-22,Croatia,0,0
2020-02-21,Croatia,0,0
2020-02-20,Croatia,0,0
2020-02-19,Croatia,0,0
2020-02-18,Croatia,0,0
2020-02-17,Croatia,0,0
2020-02-16,Croatia,0,0
2020-02-15,Croatia,0,0
2020-02-14,Croatia,0,0
2020-02-13,Croatia,0,0
2020-02-12,Croatia,0,0
2020-02-11,Croatia,0,0
2020-02-10,Croatia,0,0
2020-02-09,Croatia,0,0
2020-02-08,Croatia,0,0
2020-02-07,Croatia,0,0
2020-02-06,Croatia,0,0
2020-02-05,Croatia,0,0
2020-02-04,Croatia,0,0
2020-02-03,Croatia,0,0
2020-02-02,Croatia,0,0
2020-02-01,Croatia,0,0
2020-01-31,Croatia,0,0
2020-01-30,Croatia,0,0
2020-01-29,Croatia,0,0
2020-01-28,Croatia,0,0
2020-01-27,Croatia,0,0
2020-01-26,Croatia,0,0
2020-01-25,Croatia,0,0
2020-01-24,Croatia,0,0
2020-01-23,Croatia,0,0
2020-01-22,Croatia,0,0
2020-01-21,Croatia,0,0
2020-01-20,Croatia,0,0
2020-01-19,Croatia,0,0
2020-01-18,Croatia,0,0
2020-01-17,Croatia,0,0
2020-01-16,Croatia,0,0
2020-01-15,Croatia,0,0
